1,2,3,4,p
4,2,0,1,0
1,0,3,3,2
5,3,0,3,0
0,0,0,4,3
3,2,5,5,5
1,0,0,2,0
0,2,0,0,2
0,1,9,1,0
1,17,0,6,4
2,3,1,2,0
0,0,0,0,0
0,5,1,11,0
11,0,2,2,5
7,1,0,4,0
3,0,2,3,10
5,2,0,0,3
0,0,0,2,1
2,30,4,0,0
4,0,1,1,0
0,0,0,9,4
0,7,5,0,6
0,2,25,6,8
2,1,0,1,1
1,3,0,2,7
35,0,1,12,4
1,0,22,0,1
0,1,0,0,41
1,2,1,0,5
0,4,1,0,0
18,2,4,122,2
1,4,1,1,4
1,0,9,626,6
20,7,2,0,2
0,15,12,0,22
14,28,4,7,1
0,16,0,0,1
0,37,1,205,0
0,0,0,1,2
0,0,2,3,20
0,12,2,20,1
12,0,11,0,6
3,2,12,0,1
1,0,12,0,0
0,3,0,1,0
0,0,0,1,1
2,0,1,3,0
0,0,1,0,0
0,1,0,5,0
0,4,0,0,1
0,18,4,1,2
1,3,1,32,0
2,0,4,12,1
0,0,2,0,3
0,0,0,0,11
0,1,1,0,5
0,1,1,0,3
0,0,2,1,7
3,3,150,1,1
0,1,10,0,5
1,117,2,1,1
19,3,0,1,24
0,0,15,0,2
0,0,9,0,0
0,1,0,2,1
7,0,1,0,0
0,1,9,17,2
2,7,3,2,1
0,23,4,18,0
2,0,0,0,0
2,14,30,15,2
0,0,7,4,0
1,1,3,1,5
4,3,0,4,2
0,0,8,1,0
17,1,3,2,1
39,1,47,0,3
1,11,1,21,0
1,0,1,0,0
4,0,2,0,1
12,1,6,24,4
0,1,1,1,0
0,1,51,25,0
0,0,7,0,0
0,12,8,2,1
2,0,29,0,11
6,0,8,4,6
4,2,2,7,1
2,0,6,0,5
3,63,1,4,1
2,6,5,1,9
2,2,7,13,0
0,3,0,1,1
0,0,0,5,2
1,49,3,0,0
21,14,1,4,13
39,0,1,0,0
4,24,44,1,8
0,5,0,26,0
0,1,10,14,2
0,0,6,0,0
8,7,2,1,10
3,0,19,19,1
0,2,0,1,1
0,0,2,3,0
0,1,2,1,0
5,5,7,16,0
0,13,0,0,0
32,2,0,8,4
0,0,18,1,0
0,5,0,1,1
0,5,4,1,0
1,3,0,0,2
45,1,0,0,3
