1,2,3,4,p
24,0,0,19,1
0,0,7,0,0
19,0,2,8,0
1,0,16,3,4
0,1,1240,0,1
4,0,3,0,3
3,0,0,2,3
1,0,1,0,0
1,0,23,1,14
0,1,78,1,18
3,0,1,6,5
2,25,2,0,8
0,0,0,9,3
5,0,0,0,3
0,0,2471,0,3
1,5,5,4,3
15,0,2,2,1
5,7,0,574,1
11,2,2,1,0
78,7,7,0,0
1,0,0,0,18
1,78,1,3,22
0,1,0,1,4
2,55,0,0,1
2,2,9,0,11
2,60,0,2,7
2,0,0,0,0
0,9,0,5,8
0,18,7,1,0
4,10,0,2,2
0,1,77,0,4
5,4,4,0,9
2,17,0,3,1
0,99,0,0,0
25,0,5,182,3
2,0,5,0,1
7,0,0,1,7
3,9,4,1,4
1,4,0,1,0
39,1,1,5,4
47,0,22,0,3
0,16,1,9,2
1,0,1,4,1
1,11,1,4041,22
2,0,7,0,0
3,1,12,0,0
1,0,0,20,206
11,4,2,1,8
2,0,2,0,50
3,0,0,1,21
0,16,0,0,0
0,10,1,2,6
0,167,52,4,5
1,2,1,0,17
8,0,1,0,0
25,0,0,2,3
3,18,2,0,1
3,0,0,13,0
3,6,0,54,1
0,0,4,2,0
9,1,2067,0,18
12,10,9,3,1
15,2,0,1,0
0,0,24,1,0
5,1,4,0,0
13,0,4,11,226
20,0,4,265,1
0,3,3,2,1
1,8,0,16,0
0,42,0,0,1
1,2,1,1,14
5,0,0,4,5
1,0,28,0,2
0,0,4,1,3
5,0,4,0,1
3,7,0,0,1
1,2,1,0,1
0,0,0,0,3
1,2,0,1,1
1,1,0,0,2
1,3,0,1,1
0,1,129,1,1
0,0,3,1,1
0,6,5,9,4
0,1,1,2,0
0,0,17,4,0
1,0,29,0,3
40,1,1,11,2
0,105,4,0,1
7,0,11,2,3
0,88,0,1,112
1299,15,0,0,3
82,57494,3,5,0
7,1,1,0,0
0,1,0,0,0
1,16,32,1,1
1,0,4,6,0
1,9,0,19,2
4,6,1,0,1
1,0,0,0,0
0,1,0,11,9
1,0,0,0,0
1,8,1,11,1
16,0,13,3,19
23,12,0,1,1
4,8,2,58,1
12,230,0,97,0
4,12,0,13,0
225,3,25,0,5
0,32,8,11,0
1,0,1,3,0
6,15,0,0,1
1,1,990,0,1
31,9,0,2,0
3,9,1,0,1
3,1,0,23,2
0,1,0,2,0
0,1,4,3,23
13,0,1,0,4
2,4,2,0,21
8,2,10,0,6
0,2,25,1,2
1,13,3,15,0
4,1,0,1,2
1,4,61,83,7
5,0,5,8,6
0,1,3,0,19
3,5,3,0,1
0,0,1,11,5
2,1,324,26,1
0,2,2,0,0
9,0,46,13,2
0,61,6,2,1
37,0,174,1,1
0,0,7,0,1
7,0,0,0,9
0,1,8,0,8
1,0,170,4,3
4,0,1,3,1
7,4,5,0,0
11,0,0,0,0
0,0,0,7,1
0,0,0,8,0
1,871,10,3,0
3,75,1,0,9
1,1,74,2,7
4,10,2,4,0
11,521,1,0,3
1,4,0,0,7
5,0,11,1,1
0,0,1,2,0
0,0,0,0,0
44,0,0,0,10
0,0,0,4,4
0,0,0,0,0
2,48,0,2,2
8,0,17,0,9
0,2,0,0,0
1,39,3,1,1
3,3,0,0,0
0,7,0,0,0
1,4,1,13,24
3,4,1,17,7
7,4,14,16,6
1,1,15,2,0
1,10,1,0,27
0,31,0,0,1
0,9,1,12,1
0,0,1,1,15
0,0,8,7,4
2,19,2,1,0
0,74,0,0,4
0,61,2,0,1
0,0,1,14,0
48,0,3,3,17
0,9221,8,14,0
3,0,2,0,3
25,2,1,0,4
8,24,0,0,6
3,0,6,214,0
0,0,0,14,3
13,0,6,1,0
0,93,9,8,0
6,4,2,3,3
1,0,179,2,20
3,0,12,2,0
18,0,63,2,0
1,1,0,1341,3
4,0,268,1,0
42,0,0,7,3
1,0,0,0,0
1185,1,1,26,2
1,0,1,4,2
9,6,7,0,2
3,0,2,1,0
0,34,0,15,0
1,21,2,0,1
0,2,1,27,6
2,2,2,0,128
23,1,30,1,4
0,12,10,0,4
0,1,0,0,23
35,17,0,4,4
2,10,0,0,2
2,285,0,3,2
39,1,1,0,0
225,0,0,2,0
0,0,0,0,1
4,0,47,1,28
44,1,25,0,0
0,0,1,2,0
0,0,0,0,0
3,0,18,1,5
3,122,2,9,0
0,0,5,32,0
2,1,1,0,1
0,334,17,1,1
19,1,0,0,0
1,21,10,0,0
0,6,1,0,9
5,5,1,0,0
0,1,0,12,0
0,1,17,10,9
7,2,1,2,0
0,0,3,0,0
3,1182,2,55,0
0,2,1,4,22
3,0,24,3,3
10,1,3,2,10
0,1,49,1,13
6,0,0,5,8
18,1,2,0,2
112,0,6,1,0
1,2,0,11,15
2,0,4,2,8
1,1,1,1,4
0,3,0,5,0
25,3,0,21,4
2,0,0,231,1
0,0,0,0,7
1,4,0,2,0
0,23,1,10,1
3,3,7,0,1
1,2,0,3,0
1,8,6,7,0
0,290,8,4,0
4,0,0,4,25
0,4,0,0,0
4,50,1,0,0
6,0,0,1,38
0,0,9,2,3
2,4,6,1,10
3,4,19,4,24
0,0,4,0,0
7,1,0,1,14
1,0,0,17,2
4,46,25,0,0
0,1,1,1,1
2,1,15,3,2
4,5,5,6,3
0,3,1,4,2
0,0,4,0,0
0,0,9,4,5
0,2,0,0,0
2,2,2,12,0
0,2,3,9,14
0,4,0,8,0
11,3,0,0,1
2,1,0,1,0
4,0,47,6,0
0,242,0,10,4
0,1,1,2,3
0,0,0,0,0
1,4,0,0,3
2495,4,4,0,0
0,0,17,0,1
2,15,8,0,0
0,2,0,1229,0
100,1851,2,14,1
4,0,1,1,0
1,0,6,11,2
12,0,0,0,0
7,0,0,3,1
7,2,0,2,0
230,0,32,0,0
18,5,0,17,7
0,22,7,1,11
0,21,0,0,1
0,1,0,6,7
13,8,1,0,5
12,0,0,0,0
0,1,6,19,0
0,1,0,1,0
0,3,3,17,0
0,1,5,1,2
12,19,2,12,12
2,0,1,4,21
10,21,0,0,0
0,0,0,0,4
8,0,0,18,10
74,0,0,0,0
22,0,0,0,0
0,0,1,0,1
0,26,0,3,0
5,1,5,87,0
17,18,6,1,1
6,2,0,0,1
0,3,0,0,0
72,3,12,0,161
0,0,0,0,0
1,5,1,1,1336
