1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
4,14,71,0,0,39,0,42,48,1,0,3,3,1,11,19,0,1,10,35,0,0
1,0,2,0,2,2,1,24,0,0,0,1,0,0,0,0,0,0,1,6,1,3
2,0,1,1,7,0,0,2,6,1,0,0,1,7,20,1,0,3,0,7,0,0
6,0,1,2,0,2,1,0,2,0,0,0,2,0,9,1,0,0,0,26,0,0
0,3,5,2,0,0,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1
0,1,6,0,0,7,0,1,2,0,1,2,0,0,1,7,1,1,3,2,0,0
1,2,1,2,0,0,0,4,0,1,0,0,0,2,6,0,3,7,5,2,2,1
2,0,1,0,2,1,21,4,3,3,0,0,276,1,1,2,6,4,0,1,7,8
0,4,3,1,2,0,0,2,7,5,6,1,0,0,0,1,1,5,0,0,1,2
1,6,3,1,3,0,1,1,50,3,18,1,15,4,0,0,8,0,2,3,1,3
2,0,4,2,0,0,182,4,0,0,10,0,0,0,17,0,2131,17,5,1,0,38
9,26,0,2,0,0,2,0,10,140,3,0,42,1,1,28,2,0,8,0,8,1
11,18,1,1,0,2,2,0,5,4,11,1,69,0,0,4,0,2,0,0,2,1
2,1,0,0,1,0,3,11,18,7,2,40,4,5,2,1,0,2,8,6,2,0
0,0,1,3,1,1,64,1,2,0,1,1,3,5,1,1,2,1,0,2,4,2
2,7,2,0,0,0,16,0,1,44,2,0,8,0,1,1,0,0,4,17,0,5
0,0,1,4,1,1,11,3,4,1,3,33,7,3,0,0,3,3,2,0,2,3
0,14,0,1,7,1,3,2,1,0,13,0,5,1,0,2,85,10,12,1,0,1
0,2,1,4,6,16,5,2,0,2,4,2,7,1,20,0,1,2,7,7,1,0
1,1,1,0,22,6,3,1,0,1,183,0,36,1,0,40,0,23,0,0,1,1
1,1,0,0,4,1,0,12,0,1,0,1,0,0,1,2,0,1,1,0,0,2
1,4,2,1,37,6,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0
2,2,0,0,3,0,0,3,42,2,0,1,8,3,5,0,1,0,6,2,0,1
1,2,6,2,4,0,0,21,0,1,0,7,0,3,0,0,1,23,22,27,4,9
0,0,4,0,0,0,1,3,9,1,0,23,0,5,0,2,4,0,0,10,1,0
42,0,1,2,0,9,1,5,2,0,0,0,0,0,0,0,0,4,1,0,2,0
2,0,0,0,2,2,1,11,0,2,0,0,3,2,3,2,3,25,5,0,718,5
6,1,3,3,9,7,5,0,1,0,12,2,0,0,0,0,13,0,8,8,0,1
0,20,2,1,5,1,3,3,1,1,2,1,1,2,0,1,0,8,2,1,1,0
7,3,2,0,4,2,9,0,1,3,9,3,0,1,0,0,2,5,23,4,2,2
18,1,0,14,2,0,1,2,10,1,0,3,0,5,5,0,1,2,3,0,5,0
2,1,1,2,0,3,0,0,0,11,2,1,3,1,0,0,5,1,2,0,5,57
0,2,0,0,2,0,0,11,1,1,3,0,1,2,0,0,0,1,2,0,0,5
2,0,1,3,0,1,2,14,0,0,0,2,1,1,2,10,1,0,0,0,1,0
4,4,0,8,0,192,0,9,2,3,1,0,5,12,2,1,0,0,10,1,0,2
1,0,6,0,1,6,193,0,0,0,18,1,0,8,0,3,43,4,1,3,13,2
1,25,10,0,0,0,0,5,1,2,1,12,0,7,0,0,1,0,6,0,0,2
4,18,0,3,0,4,0,2,0,3,0,65,0,29,6,0,49,17,3,53,2,9
2,0,2,0,5,4,0,0,0,8,0,9,2,6,1,31,0,1,0,1,4,3
5,2,0,2,1,0,3,0,5,1,3,0,7,22,2,0,20,12,3,1,1,1
0,1,0,0,0,1,7,0,2,32,0,2,0,14,2,4,4,77,53,2,1,1
13,1,1,0,3,0,198,2,5,29,0,0,0,0,0,9,3,7,0,1,0,0
3,0,1,2,0,2,0,1,0,1,14,1,0,0,0,5,2,1,0,0,3,0
0,7,8,0,0,1,4,184,0,1,4,4,36,0,0,0,0,0,2,0,0,0
0,195,2,4,0,6,0,21,19,1,1,0,2,0,4,4,2,0,4,1,0,1
3,0,4,4,0,7,2,0,0,0,5,5,3,1,1,0,4,3,0,2,0,2
0,0,1,0,2,4,5,0,0,0,0,0,0,7,2,16,0,2,1,0,3,1
9,2,0,1,0,0,27,3,2,0,3,0,6,0,0,2,1,0,0,4,1,1
24,0,5,11,4,0,0,4,11,0,2,3,1,0,3,4,1,2,1,74,8,1
0,0,0,1,8,0,2,0,6,0,6,1,0,4,4,0,1,6,0,1,0,2
22,5,3,0,0,0,5,0,13,2,10,1,0,0,0,6,2,0,3,0,6,3
1,7,0,0,0,3,4,7,6,0,1,0,0,0,0,1,11,1,1,3,2,6
3,0,1,1,0,0,0,5,3,1,3,11,33,0,1,3,3,2,1,0,2,5
0,1,0,10,0,5,0,1,0,8,3,2,5,2,0,3,0,0,3,1,3,1
0,20,2,1,1,1,6,1,5,1,0,0,2,0,1,1,1,0,1,0,4,0
1,1,0,0,1,35,0,0,22,3,2,1,0,0,0,0,2,0,1,20,0,0
0,12,0,1,0,2,0,0,0,2,0,2,4,0,9,0,5,2,0,0,15,3
0,0,0,7,0,9,0,20,12,12,0,3,2,44,10,1,0,2,67,13,0,0
2,1,0,8,0,2,2,1,1,0,0,1,0,5,0,7,0,0,0,0,1,2
2,6,4,3,1,0,1,0,0,11,15,0,38,2,23,2,0,1,0,0,6,14
0,0,0,1,0,0,2,4,0,0,1,0,9,0,0,0,7,20,0,2,0,8
1,0,3,0,25,0,0,1,0,5,0,0,0,1,2,19,9,31,3,0,0,4
0,0,0,2,13,1,0,0,9,1,2,0,0,15,3,0,1,8,0,7,2,8
0,10,0,16,0,1,2,0,1,1,1,0,4,5,3,0,0,2,2,1,54,0
4,0,18,2,9,6,3,5,3,0,2,54,2,81,0,3,1,0,0,0,0,2
1,4,0,0,0,2,0,4,1,0,0,1,2,0,0,1,4,0,1,4,0,0
5,1,1,1,2,0,1,0,0,2,9,7,4,3,0,27,4,0,1,8,1,0
0,1,0,0,21,3,3,1,0,14,26,12,20,77,13,1,5,0,4,0,0,40
2,6,0,15,6,0,1,19,2,12,3,6,10,0,0,8,0,0,15,2,7,4
0,1,6,0,1,0,0,1,3,2,5,3,1,9,2,1,2,0,9,29,2,0
6,0,8,1,122,0,0,3,8,0,3,1,28,0,0,0,0,1,2,3,1,2
0,0,7,0,0,1,88,0,2,0,0,2,1,25,1,1,0,0,1,0,1,0
0,1,2,0,1,1,0,32,18,3,2,1,0,0,10,2,1,144,1,2,0,0
